optimus_id,age,vh12g,vh10g,vh08g,party_Democratic,party_Green,party_Libertarian,party_Non-Partisan,party_Other,party_Republican,ethnicity_Asian,ethnicity_European,ethnicity_Hispanic,ethnicity_Other,maritalstatus_Non-Traditional,education_Bach Degree - Likely,education_Grad Degree - Extremely Likely,education_Grad Degree - Likely,education_HS Diploma - Extremely Likely,education_HS Diploma - Likely,education_Less than HS Diploma - Likely,education_Some College - Likely,education_Some College -Extremely Likely,education_Vocational Technical Degree - Extremely Likely,net_worth_$10000-24999,net_worth_$100000-249999,net_worth_$25000-49999,net_worth_$250000-499999,net_worth_$499999+,net_worth_$5000-9999,net_worth_$50000-99999,home_owner_or_renter_Likely Renter,vote,vote_prob
61721,69.0,0,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.0012228193741969763
820089,69.0,1,1,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,1,0.9972761295278487
246928,47.0,0,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0,0.0028906437048041383
556771,68.0,0,1,1,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0.00700791364880417
55412,65.0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.0010203294780517665
240841,76.0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,0.0012808713474419607
948128,53.0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.000981369817889453
862008,71.0,0,0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0.002710377373987468
434078,75.0,1,1,1,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.9975590855928387
171158,37.0,0,0,0,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0007921655790132444
576993,71.0,1,1,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0.9977351182459606
961500,67.0,1,1,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1,0.9974293647855934
